course,episode,lesson,infinitive,part of speech,audio,japanese,example
Friends Season 1,1,3,bracket,n.,22 bracket brackety thing.mp3,L字形の金具,I’m supposed to attach a {{c1::bracket::L字形の金具}}-y thing to the side things using a bunch of these little worm guys.
Friends Season 1,1,3,whatsoever,adv.,23 whatsoever.mp3,何であれ,I see no worm guys {{c1::whatsoever::何であれ}}.
Friends Season 1,1,3,to get screwed,p.v.,24 got screwed.mp3,騙される,You {{c1::got screwed::騙される}}.
Friends Season 1,1,3,to catch on,p.v.,25 caught on.mp3,（嘘に）気づく,Guess I should’ve {{c1::caught on::（嘘に）気づく}} when she started going to the dentist four or five times a week.
Friends Season 1,1,3,to be a mess,p.v.,26 a mess.mp3,混乱した状況,My brother’s going through that now. He’s such {{c1::a mess::混乱した状況}}. How did you get through it?
Friends Season 1,1,3,to go through,p.v.,27 going through.mp3,つらい経験をする,My brother’s {{c1::going through::つらい経験をする}} that now. He’s such a mess. How did you get through it?
Friends Season 1,1,3,dough,n.,28 dough.mp3,パン生地,There’s lots of flavors out there. Rocky road and cookie {{c1::dough::パン生地}} and bing cherry vanilla.
Friends Season 1,1,3,horny,adj.,29 horny.mp3,性的に興奮する,I honestly don’t know if I’m hungry or {{c1::horny::性的に興奮する}}.
Friends Season 1,1,3,to walk out on,p.v.,30 walked out on.mp3,（パートナーを）ふる,"Ever since she {{c1::walked out on::（パートナーを）ふる}} me, I…."
Friends Season 1,1,3,revelation,n.,31 revelation.mp3,告白,"No, it’s more of a fifth date kind of {{c1::revelation::告白}}."
Friends Season 1,1,4,to get it together,p.v.,32 get it together.mp3,冷静さを保つ,"Even if I could {{c1::get it together::冷静さを保つ}} enough to ask another woman out, who am I gonna ask?"
Friends Season 1,1,4,beacon,n.,33 beacon.mp3,のろし, Is it me? Is it like I have some sort of {{c1::beacon::のろし}} that only dogs and men with severe emotional problems can hear?
Friends Season 1,1,4,to take credit for,p.v.,34 take credit for.mp3,〜のおかげである,"I {{c1::take credit for::〜のおかげである}} Paul. You know, before me, there was no snap in his turtle for two years."
Friends Season 1,1,4,to be laughed out of ,p.v.,35 laughed out of.mp3,笑って追い出される,I'm trained for nothing. I was {{c1::laughed out of::笑って追い出される}} 12 interviews today.
Friends Season 1,1,4,upbeat,adj.,36 upbeat.mp3,陽気な,"And yet, you’re surprisingly {{c1::upbeat::陽気な}}."
Friends Season 1,1,5,to live off,p.v.,37 live off.mp3,すねをかじる,You can’t {{c1::live off::すねをかじる}} your parents your whole life.
Friends Season 1,1,5,stepdad,n.,38 stepdad.mp3,継父,My mom just had killed herself and my {{c1::stepdad::継父}} was back in prison. 
Friends Season 1,1,5,albino,adj.,39 albino.mp3,アルビノ,I ended up living with this {{c1::albino::アルビノ}} guy who was like cleaning windshields.
Friends Season 1,1,5,windshield,n.,40 windshield.mp3,車の窓ガラス,I ended up living with this albino guy who was like cleaning {{c1::windshields::車の窓ガラス}}.
Friends Season 1,1,5,to crash,v.,41 crash.mp3,眠る,You’re gonna {{c1::crash::眠る}} on the couch?
Friends Season 1,1,5,to have a crush on,p.v.,42 have a crush had a major crush on.mp3,片思いをする,"You probably didn’t know this, but back in high school I {{c1::had a::片思いをする}} major {{c1::crush on::}} you."
Friends Season 1,1,5,geeky,adj.,43 geeky.mp3,オタクっぽい,I always figured that you just thought I was Monica’s {{c1::geeky::オタクっぽい}} older brother.
Friends Season 1,1,5,vulnerability,n.,44 vulnerability.mp3,脆弱性,Try not to let my intense {{c1::vulnerability::脆弱性}} become any kind of a factor here.
Friends Season 1,1,5,to ask (someone) out,p.v.,45 asked you out.mp3,デートに誘う,"But do you think it would be okay if I {{c1::asked::デートに誘う}} you {{c1::out::}} sometime, maybe?"
Friends Season 1,1,5,What’s with (person)?,expression,46 whats with you.mp3,何があったの？,"Wait, wait. Hey, {{c1::what’s with you::何があったの}}？"
Friends Season 1,2,1,an opening act,n.,1 an opening act.mp3,(コンサートの)前座,"Chandler: I think for us kissing is pretty much like {{c1::an opening act::(コンサートの)前座}}, you know?"
Friends Season 1,2,1,to sit through,p.v.,2 sit through.mp3,最後まで観る・聴く,"Chandler: I mean, it’s like a standup comedian you have to {{c1::sit through::最後まで観る・聴く}} before Pink Floyd comes out."
Friends Season 1,2,1,a club,n.,3 a club.mp3,こん棒,"Marsha: He’s out banging other women on the head with {{c1::a club::こん棒}}, while she’s home trying to get the mastodon smell out of the carpet."
Friends Season 1,2,1,mastodon,n.,4 mastodon.mp3,マストドン,"Marsha: He’s out banging other women on the head with a club, while she’s home trying to get the {{c1::mastodon::マストドン}} smell out of the carpet."
Friends Season 1,2,1,cave people,n.,5 cave people.mp3,原始人,"Ross: Marsha, see the- these are {{c1::cave people::原始人}}. Okay, they have issues like: “Gee, that glacier’s getting kind of close!” See?"
Friends Season 1,2,1,issues,n.,6 issues.mp3,問題,"Ross: Marsha, see the- these are cave people. Okay, they have {{c1::issues::うわぁ}} like: “Gee, that glacier’s getting kind of close!” See?"
Friends Season 1,2,1,gee,expression,7 gee.mp3,うわぁ,"Ross: Marsha, see the- these are cave people. Okay, they have issues like: “{{c1::Gee::うわぁ}}, that glacier’s getting kind of close!” See?"
Friends Season 1,2,1,glacier,n.,8 glacier.mp3,氷河,"Ross: Marsha, see the- these are cave people. Okay, they have issues like: “Gee, that {{c1::glacier::氷河}}’s getting kind of close!” See?"
Friends Season 1,2,1,to catch up with (someone),p.v.,9 catch up with.mp3,また会う,Ross: How about I {{c1::catch up with::また会う}} you in the ice age?
Friends Season 1,2,1,the ice age,n.,10 the ice age.mp3,氷河期,Ross: How about I catch up with you in {{c1::the ice age::氷河期}}?
Friends Season 1,2,1,stand erect,p.v.,11 stands erect.mp3,まっすぐ立つ,"Ross: Dah-Well, you know, in here, anyone who {{c1::stands erect::まっすぐ立つ}}..."
Friends Season 1,2,1,What's new?,expression,12 whats new.mp3,最近どう？,"Ross: So, {{c1::what’s new::最近どう？}}? Still a…. --Carol: A lesbian?"
Friends Season 1,2,1,"Well, you never know.",expression,13 well you never know.mp3,わからないよね,"Ross: {{c1::Well, you never know::わからないよね}}. "
Friends Season 1,2,1,paranoid,adj.,14 paranoid.mp3,被害妄想を持つ,Carol: Marty’s still totally {{c1::paranoid::被害妄想を持つ}}. Oh and that’s a…
Friends Season 1,2,1,in a hurry,adv. phrase,15 in such a hurry.mp3,急いで,TV: Ha! It looks like she didn’t leave {{c1::in::急いで}} such {{c1::a hurry::}} after all.
Friends Season 1,2,1,misunderstanding,n.,16 misunderstanding.mp3,誤解,"Chandler: Oh, I think this is the episode of “Three’s Company” where’s there some kind of {{c1::misunderstanding::誤解}}."
Friends Season 1,2,1,to be through with,p.v.,17 through with.mp3,やり終える,Monica: Are you {{c1::through with::やり終える}} that?
Friends Season 1,2,1,to swallow,v.,18 swallowing.mp3,飲み込む,"Joey: Yeah. Sorry, the {{c1::swallowing::飲み込む}} slowed me down."
Friends Season 1,2,1,to ball (something) up,p.v.,19 balled it up.mp3,丸める,"Chandler: I wrote a note to myself, then I realized I didn’t need the note. So I {{c1::balled::丸める}} it {{c1::up::}}... and now I wish I was dead."
Friends Season 1,2,1,to fluff,v.,20 fluffed.mp3,ふわふわにする,"Phoebe: She already {{c1::fluffed::ふわふわにする}} that pillow. Monica, you know, you already {{c1::fluffed::ふわふわにする}} that p—but it’s fine!"
Friends Season 1,2,1,ammunition,n.,21 ammunition.mp3,攻撃材料,"Monica: Look, I’m sorry guys. I just don’t want to give them any more {{c1::ammunition::攻撃材料}} than they already have."
Friends Season 1,2,1,(to be) cruel,adj.,22 cruel.mp3,残酷,"Chandler: Yes, and we all know how {{c1::cruel::残酷}} a parent can be about the flatness of a child’s pillow."
Friends Season 1,2,1,flatness,n.,23 flatness.mp3,平らであること,"Chandler: Yes, and we all know how cruel a parent can be about the {{c1::flatness::平らであること}} of a child’s pillow."
Friends Season 1,2,1,chaotic,adj.,24 chaotic.mp3,支離滅裂な,"Phoebe: Monica, um, you’re scaring me. I mean, you’re like, you’re like all {{c1::chaotic::支離滅裂な}} and twirly, you know? And, not- not in a good way."
Friends Season 1,2,1,as far as (person/thing) is concerned,adv. phrase,25 as far as my parents are concerned.mp3,〜が言うには,"Monica: That’s because {{c1::as far as::〜が言うには}} my parents {{c1::are concerned::}}, Ross can do no wrong."
Friends Season 1,2,1,apparently,adv.,26 apparently.mp3,どうやら,"You see, he’s the prince. {{c1::Apparently::どうやら}} they had some big ceremony before I was born."
Friends Season 1,2,2,to dread,v.,27 dreading.mp3,怖がる,"Rachel: Oh, like I wasn’t {{c1::dreading::怖がる}} tomorrow enough having to get it back to him."
Friends Season 1,2,2,veil,n.,28 veil.mp3,ベール,"Rachel: ""Hi, Barry. Remember me? I’m the girl in the {{c1::veil::ベール}} that stomped on your heart in front of your entire family”."
Friends Season 1,2,2,to stomp on,p.v.,29 stomped on.mp3,踏みつける,"Rachel: ""Hi, Barry. Remember me? I’m the girl in the veil that {{c1::stomped on::踏みつける}} your heart in front of your entire family”."
Friends Season 1,2,2,We're going in!,expression,30 were going in.mp3,やるぞ！,Chandler: Boys? {{c1::We’re going in::やるぞ！}}!
Friends Season 1,2,2,put (something) in perspective,p.v.,31 puts the whole pillow thing in perspective.mp3,大局的に見る,"That {{c1::puts::大局的に見る}} that whole pillow thing {{c1::in perspective::}}, huh Mon?"
Friends Season 1,2,2,(to be) involved,adj.,32 involved.mp3,関わっている,"Well, Carol says she and Susan want me {{c1::to be involved::関わっている}}. But if I’m not comfortable with it, I don’t have {{c1::to be involved::関わっている}}."
Friends Season 1,2,2,presumably,adv.,33 presumably.mp3,おそらく,"I mean, {{c1::presumably::おそらく}}, the biggest part of your job is done."
Friends Season 1,2,2,sonogram,n.,34 sonogram.mp3,超音波診断器,"Ross: Anyway, they want me to go down to this {{c1::sonogram::超音波診断器}} thing with them tomorrow."
Friends Season 1,2,2,I have no idea.,expression,35 I have no idea.mp3,全くわからない,--Rachel: So what are you gonna do? --Ross: {{c1::I have no idea::全くわからない}}.
Friends Season 1,2,2,(to be) ruined,adj.,36 ruined.mp3,台無しになった,"Joey: This is still {{c1::ruined::台無しになった}}, right?"
Friends Season 1,2,2,to have a thing for (someone),p.v.,37 had a thing for.mp3,好きでいる,"Jack: You remember the Lugwins? The big one {{c1::had a thing for::好きでいる}} you, didn’t she?"
Friends Season 1,2,2,to take the heat off (someone),p.v.,38 take the heat off.mp3,負担を軽減する,"Monica: I know this is going to sound unbelievably selfish on my part, but were you planning on bringing up the whole baby/lesbian thing? Because I think it’d {{c1::take the heat off::負担を軽減する}} me."
Friends Season 1,2,2,to run into (someone),p.v.,39 ran into.mp3,遭遇する,Judy: What that Rachel did to her life. We {{c1::ran into::遭遇する}} her parents at the club. They were not playing very well.
Friends Season 1,2,2,the altar,n.,40 altar.mp3,祭壇,"Judy: Well, at least she had the chance to leave a man at {{c1::the altar::祭壇}}."
Friends Season 1,2,2,What's that supposed to mean?,expresssion,41 whats that supposed to mean.mp3,それってどういう意味？,"--Judy: Well, at least she had the chance to leave a man at the altar. --Monica: {{c1::What’s that supposed to mean::それってどういう意味？}}?"
Friends Season 1,2,2,chubby,adj.,42 chubby.mp3,ぽっちゃりした,"Jack: Don’t listen to your mother! You’re independent and you always have been. Even when you were a kid, and you were {{c1::chubby::ぽっちゃりした}}, and you had no friends, you were just fine. And you would read alone in your room... And your puzzles..."
Friends Season 1,2,2,to shoot for the stars,expression,43 shoot for the stars.mp3,高望みをする,"Dad: Look. There are people like Ross who need {{c1::to shoot for the stars::高望みをする}}. With his museum and his papers getting published. Other people are as satisfied with staying where they are. I’m telling you, these are the people who never get cancer. "
Friends Season 1,2,2,to have it all,p.v.,44 have it all.mp3,何でもほしがる,"Jack: And I read about these women trying {{c1::to have it all::何でもほしがる}}. And I thank God, our little harmonica doesn’t seem to have that problem."
Friends Season 1,2,3,boy,expression,45 boy.mp3,あぁ (間投詞),"Monica: {{c1::Boy::あぁ (間投詞)}}, I know they say that you can’t change your parents. But {{c1::boy::あぁ (間投詞)}}, if you could, I’d want yours."
Friends Season 1,2,3,driven (of a person),adj.,46 driven.mp3,突き動かされた,"Phoebe: Yeah. We don’t speak. She’s like this high-powered, {{c1::driven::突き動かされた}}, career type."
Friends Season 1,2,3,an only child,n.,47 an only child.mp3,一人っ子,"Monica: Chandler, you’re {{c1::an only child::一人っ子}}, right? You don’t have any of this?"
Friends Season 1,2,3,an imaginary friend,n.,48 an imaginary friend.mp3,空想上の友達,"Chandler: Well, no, although I did have {{c1::an imaginary friend::空想上の友達}} who... my parents actually preferred."
Friends Season 1,2,3,hit the lights,expression,49 hit the lights.mp3,明かりをつける,"Rachel: {{c1::Hit the lights::明かりをつける}}, please?"
Friends Season 1,2,3,to dump,v.,50 dumped.mp3,振る,"Rachel: Ah, a little... A lot. So, got any advice? You know, as someone who’s recently been {{c1::dumped::振る}}?"
Friends Season 1,2,3,to steer clear of,p.v.,51 steer clear of.mp3,避ける,Ross: Well. You may want {{c1::to steer clear of::避ける}} the word “dumped.”
Friends Season 1,2,3,chances are,expression,52 chances are.mp3,おそらく〜だろう,"Ross: {{c1::Chances are::おそらく〜だろう}} he’s gonna be this-this broken shell of a man, you know?"
Friends Season 1,2,3,terrific,adj.,53 terrific.mp3,素晴らしい,So you should try not to look too {{c1::terrific::素晴らしい}}. I know it’ll be hard. 
Friends Season 1,2,3,the OB-GYN,n.,54 the OBGYN.mp3,産婦人科医,And you can go with Carol and Susan to {{c1::the OB-GYN::産婦人科医}}.
Friends Season 1,2,4,to get stuck at,p.v.,55 got stuck at.mp3,〜から動けない,"Ross: Hi, I’m sorry I’m late. I {{c1::got stuck at::〜から動けない}} work. There was this big dinosaur... thing. Anyway."
Friends Season 1,2,4,shake (short for handshake),n.,56 shake.mp3,握手,"Ross: Hello, Susan. Good {{c1::shake::握手}}, good {{c1::shake::握手}}. So ah, we’re just waiting for….?"
Friends Season 1,2,4,(to be) supportive,adj.,57 supportive.mp3,協力的,"--Ross: She. Of course, “she.” Is she familiar with our special situation? --Carol: Yes, she’s very {{c1::supportive::協力的}}."
Friends Season 1,2,4,cervix,n.,58 cervix.mp3,頸部,Carol: Ross. That opens my {{c1::cervix::頸部}}.
Friends Season 1,3,1,loosely translated,expr.,1 loosely translated.mp3,意訳すると,"Monica: Uh, no. {{c1::Loosely translated::意訳すると}}, “We should do this again” means “You will never see me naked.”"
Friends Season 1,3,1,an alcoholic,n.,2 alcoholics.mp3,アル中,"Chandler: Or “You’re such a nice guy” means, “I’m gonna be dating leather-wearing {{c1::alcoholics::アル中}} and complaining about them to you.”"
Friends Season 1,3,1,to cushion the blow,expr.,3 cushions the blow.mp3,衝撃を吸収する,Joey: Oh yeah! {{c1::Cushions the blow::衝撃を吸収する}}.
Friends Season 1,3,1,to put (an animal) to sleep,p.v.,4 put the dog to sleep.mp3,安楽死させる,"Chandler: Yeah, it’s like when you were a kid, and your parents {{c1::put::安楽死させる}} the dog to {{c1::sleep::}} and tell you it went off to live on some farm."
Friends Season 1,3,1,warden,n.,5 warden.mp3,刑務所長,"Joey: “{{c1::Warden::刑務所長}}, in five minutes my pain will be over. But you’ll have to live with the knowledge that you sent an honest man to die.”"
Friends Season 1,3,1,a (jail) cell,n.,6 cell.mp3,独房,"Joey: “I just wanna go back to my {{c1::cell::独房}}, because in my {{c1::cell::}} I can smoke.”"
Friends Season 1,3,1,to take a puff,p.v.,7 taking a puff.mp3,たばこを吸う,"Chandler: Alright. Now try {{c1::taking a puff::たばこを吸う}}. Right. Okay, no. Give it to me."
Friends Season 1,3,1,index finger,n.,8 index finger.mp3,人差し指,"Monica: No, nononono. They say it’s the same as the distance from the tip of a guy’s thumb to the tip of his {{c1::index finger::人差し指}}."
Friends Season 1,3,1,a statement,n.,9 statement.mp3,銀行取引明細書,"Phoebe: It’s not, it’s just….okay. I’m going through my mail, and I open up their monthly “{{c1::statement::銀行取引明細書}}”."
Friends Season 1,3,1,minions,n.,10 minions.mp3,子分・手先,"Chandler: Oh, Satan's {{c1::minions::子分・手先}} at work again!"
Friends Season 1,3,1,to deal with (someone),p.v.,11 deal with.mp3,扱う,Phoebe: Yes! ‘Cause now I have to go down there and {{c1::deal with::扱う}} them and…
Friends Season 1,3,2,to put (something) out,p.v.,12 putting it out.mp3,(火を)消す,Chandler: Alright. I’m {{c1::putting::(火を)消す}} it {{c1::out::}}. I’m {{c1::putting::(火を)消す}} it {{c1::out::}}!
Friends Season 1,3,2,to change (clothing),v.,13 change.mp3,着替える,Monica: Alright. I’m gonna go {{c1::change::着替える}}. I’ve got a date.
Friends Season 1,3,2,to be all over (someone),p.v.,14 all over.mp3,批判する,"Monica: Why should I let them meet him? I mean, I bring a guy home and within five minutes, they’re {{c1::all over::批判する}} him."
Friends Season 1,3,2,to pick off,p.v.,15 picking off.mp3,狙い撃ちする,"Monica: I mean, they’re like coyotes {{c1::picking off::狙い撃ちする}} the weak members of the herd."
Friends Season 1,3,2,to see one's share of,expr.,16 seen more than her share of.mp3,十分に経験する,"Paula: Listen. As someone who’s {{c1::seen::十分に経験する}} more than her {{c1::share of::}} bad beef, I’ll tell you, that is not such a terrible thing."
Friends Season 1,3,2,to look out for,p.v.,17 looking out for.mp3,気を配る,"Paula: Come on, now! They’re your friends. They’re just {{c1::looking out for::気を配る}} you."
Friends Season 1,3,2,to bring (a romantic interest) home,p.v.,18 bring a guy home.mp3,家に連れて行く,Monica: I just wish that once I’d {{c1::bring::家に連れて行く}} a guy {{c1::home::}} they actually liked.
Friends Season 1,3,2,the odds of,expr.,19 the odds of.mp3,可能性,"Paula: Well, you do realize that {{c1::the odds of::可能性}} that happening are a little slimmer if they never get to meet the guy."
Friends Season 1,3,2,slim,adj.,20 slimmer.mp3,(可能性が)低い,"Paula: Well, you do realize that the odds of that happening are a little {{c1::slimmer::より(可能性が)低い}} if they never get to meet the guy."
Friends Season 1,3,2,Let it go.,expr.,21 let it go.mp3,放っておく,"Joey: {{c1::Let it go::放っておく}}, Ross."
Friends Season 1,3,2,filter-tipped,adj.,22 filter tipped.mp3,先にフィルターのついた,"Joey: You can come in, but your {{c1::filter-tipped::先にフィルターのついた}} little buddy has to stay outside."
Friends Season 1,3,2,a buddy,n.,23 buddy.mp3,仲間,"Joey: You can come in, but your filter-tipped little {{c1::buddy::仲間}} has to stay outside."
Friends Season 1,3,2,to credit (an account),v.,24 credited.mp3,口座に入れる,Phoebe: “Dear Ms. Buffay: Thank you for calling attention to our error. We have {{c1::credited::口座に入れる}} your account five hundred dollars.
Friends Season 1,3,3,to bash (strongly criticize),v.,25 bashing alan bashing.mp3,非難する,"Monica: Okay, let’s let the Alan-{{c1::bashing::非難}} begin. Who’s gonna take the first shot. Hm?"
Friends Season 1,3,3,crooked,adj.,26 crooked.mp3,歪んだ,Joey: You know what was great? The way he smile was kind of {{c1::crooked::歪んだ}}.
Friends Season 1,3,3,a nursery rhyme,n.,27 the nursery rhyme.mp3,童謡,Phoebe: From {{c1::the nursery rhyme::童謡}}. “There was a crooked man with a crooked smile who lived in the shoe for a while”.
Friends Season 1,3,3,a yardstick,n.,28 the yardstick.mp3,物差し,"Ross: So, I think Alan will become the {{c1::yardstick::物差し}} against which all future boyfriends will be measured."
Friends Season 1,3,3,an impression,n.,29 impression.mp3,印象,Chandler: Oh yeah. I’d marry him just for his David Hasselfhoff {{c1::impression::印象}} alone.
Friends Season 1,3,3,to show (someone) a thing or two about,expr.,30 showed those hasidic jewelers a thing or two about.mp3,少し教えてやる,Chandler: Yeah! We sure {{c1::showed::少し教えてやる}} those Hasidic jewelers {{c1::a thing or two::}} about softball.
Friends Season 1,3,3,a gallon,n.,31 a gallon.mp3,ガロン,Chandler: I personally could have {{c1::a gallon::ガロン}} of Alan.
Friends Season 1,3,3,tinfoil,n.,32 tinfoil.mp3,アルミホイル,Lizzy: Do you want my {{c1::tinfoil::アルミホイル}} hat?
Friends Season 1,3,3,(to be) even (with someone),adj.,33 even.mp3,おあいこ,"Phoebe: Okay, alright. I’ll tell you what. You buy me a soda and then we’re {{c1::even::おあいこ}}. Okay?"
Friends Season 1,3,3,Keep the change.,expr.,34 keep the change.mp3,お釣りを取っておく,Lizzy: {{c1::Keep the change::お釣りを取っておく}}.
Friends Season 1,3,4,a contest,n.,35 a contest.mp3,キャンペーン,Chandler: Well maybe it’s {{c1::a contest::キャンペーン}}. You know? Like “collect all five.”
Friends Season 1,3,4,a flaw,n.,36 a flaw.mp3,欠点,Chandler: So I have {{c1::a flaw::欠点}}! Big deal!
Friends Season 1,3,4,to crack (your) knuckles,p.v.,37 crack your knuckles knuckle cracking.mp3,骨を鳴らす,"Chandler: Like Joey’s constant {{c1::knuckle-cracking::骨を鳴らすこと}} isn’t annoying? And Ross, with his over-pronouncing every single word. And Monica, with that snort when she laughs."
Friends Season 1,3,4,to snort,v.,38 snort.mp3,鼻を鳴らす,"Chandler: Like Joey’s constant knuckle-cracking isn’t annoying? And Ross, with his over-pronouncing every single word. And Monica, with that {{c1::snort::鼻を鳴らす}} when she laughs."
Friends Season 1,3,4,endearing,adj.,39 endearing.mp3,かわいらしい,"Ross: Don’t listen to him, Pheebs, alright? I think it’s {{c1::endearing::かわいらしい}}."
Friends Season 1,3,4,honey,expression,40 honey.mp3,あなた(呼びかけ),Paula: {{c1::Honey::あなた(呼びかけ)}}. You should always feel the thing.
Friends Season 1,3,4,to get over (something bad happening),p.v.,41 get over.mp3,乗り越える,Paula: He’s a big boy. He’ll {{c1::get over::乗り越える}} it.
Friends Season 1,3,4,I've had it with...,expr.,42 ive had it.mp3,もう十分だ,"Chandler: Hey, you know {{c1::I’ve had it with::もう十分だ}} you guys. And your cancer, and your emphysema and your heart disease."
Friends Season 1,3,4,the bottom line,n.,43 the bottom line.mp3,要は,"{{c1::The bottom line::要は}} is smoking is cool, and you know it."
Friends Season 1,3,4,...and you know it,expr.,44 and you know it.mp3,分かってるだろ,"The bottom line is smoking is cool, {{c1::and you know it::分かってるだろ}}."
Friends Season 1,3,4,to put it (like that),p.v.,45 put it like that.mp3,表現する,"Chandler: Well, it’s not that bad- Well, that’s true. Gee, you know. No one, no one’s ever {{c1::put it like that::表現する}} before. Well, okay, thanks."
Friends Season 1,3,4,a nicotine patch,n.,46 nicotine patch.mp3,ニコチンパッチ,"Ross: Okay, I think it’s time to change somebody’s {{c1::nicotine patch::ニコチンパッチ}}."
Friends Season 1,3,4,a stick of gum,n.,47 stick of gum.mp3,1枚のガム,"Chandler: Joey ate my last {{c1::stick of gum::1枚のガム}}, so I killed him. Do you think that was wrong?"
Friends Season 1,3,5,deja vu,n.,48 deja vu.mp3,デジャブ,"Phoebe: Wait, wait! I’m getting {{c1::déjà vu::デジャブ}}. No, I’m not."
Friends Season 1,3,5,to break up with,p.v.,49 break up with.mp3,別れる,"Monica: I mean, there’s really no easy way to say this. I’ve decided to {{c1::break up with::別れる}} Alan."
Friends Season 1,3,5,to let (your) guard down,p.v.,50 let your guard down.mp3,警戒をとく,"Phoebe: You know, you {{c1::let::警戒をとく}} your {{c1::guard down::}}. You start to really care about someone, and I just… I..."
Friends Season 1,3,5,to be fair to (person),p.v.,51 be fair to.mp3,〜に対して公平である,"Monica: No. That wouldn’t {{c1::be fair to::〜に対して公平である}} me, wouldn’t to be fair to Alan, or it wouldn’t fair to you."
Friends Season 1,3,5,to need (a little) time,p.v.,52 need a little time.mp3,少し時間が必要だ,"Ross: Hey, hey. We’ll be fine. We’re just gonna {{c1::need a little time::少し時間が必要だ}}."
Friends Season 1,3,5,(to be) relieved,adj.,53 relieved.mp3,安心した,Alan: Yeah. I’m sorry too. But I gotta tell you I am a little {{c1::relieved::安心した}}.
Friends Season 1,3,5,can't stand ,expr.,54 cant stand.mp3,耐えられない,"Alan: Yeah. Well, I mean, I had a great time with you. I just {{c1::can’t stand::耐えられない}} your friends."
Friends Season 1,3,5,to mention,v.,55 mention.mp3,〜について述べる,Phoebe: Did... Did he {{c1::mention::〜について述べる}} us?
Friends Season 1,4,1,omnipotent,adj.,1 omnipotent.mp3,全知全能の,"Phoebe: Okay, okay. If I were {{c1::omnipotent::全知全能の}} for a day, I would want, uh world peace, no more hunger, good things for the rainforest. And bigger boobs."
Friends Season 1,4,1,rainforest,n.,2 rainforest.mp3,熱帯雨林,"Phoebe: Okay, okay. If I were omnipotent for a day, I would want, uh world peace, no more hunger, good things for the {{c1::rainforest::熱帯雨林}}. And bigger boobs."
Friends Season 1,4,1,to nod off,p.v.,3 nodded off.mp3,うとうとする,"Ross: It’s okay. You know, you just {{c1::nodded off::うとうとした}} again."
